stop_id,stop_name,main_cross_street,stop_lat,stop_lon,district_hits,in_geofence,saturday_alightings_monthly,sunday_alightings_monthly,weekday_alightings_monthly,saturday_boardings_monthly,sunday_boardings_monthly,weekday_boardings_monthly,saturday_trips_observed_monthly,sunday_trips_observed_monthly,weekday_trips_observed_monthly,weekday_boardings,weekday_alightings,saturday_boardings,saturday_alightings,sunday_boardings,sunday_alightings,annual_boardings,annual_alightings
2792,Los Gatos & Fillmer,LOS GATOS + FILLMER,37.227071,-121.968004,D7,True,3,8,25,6,7,23,19,13,30,1.0,1.09,1.5,0.75,1.75,2.0,424,421
1817,Samaritan & Esther,SAMARITAN + ESTHER,37.250707,-121.935647,,False,4,5,47,3,0,22,19,14,32,0.96,2.04,0.75,1.0,0.0,1.25,284,637
2784,Winchester & Daves,WINCHESTER + DAVES,37.23975,-121.977014,D5,True,5,1,57,0,2,22,19,13,30,0.96,2.48,0.0,1.25,0.5,0.25,271,710
2771,Hacienda & Walnut,HACIENDA + WALNUT,37.269247,-121.959049,,False,3,6,31,5,0,21,19,13,30,0.91,1.35,1.25,0.75,0.0,1.5,297,461
2769,Winchester & Sunnyoaks,WINCHESTER + SUNNYOAKS,37.271789,-121.954372,,False,8,5,48,2,6,20,19,13,30,0.87,2.09,0.5,2.0,1.5,1.25,326,702
2776,Pollard & Teakwood,POLLARD + TEAKWOOD,37.262511,-121.970719,,False,2,1,14,0,0,19,19,13,30,0.83,0.61,0.0,0.5,0.0,0.25,212,195
1160,Blossom Hill & Dartmouth,BLOSSOM HILL + DARTMOUTH,37.239132,-121.89614,,False,3,1,47,0,0,18,19,13,32,0.78,2.04,0.0,0.75,0.0,0.25,199,572
1740,Winchester & Albright,WINCHESTER + ALBRIGHT,37.255433,-121.966333,D3,True,2,0,22,4,4,18,19,13,30,0.78,0.96,1.0,0.5,1.0,0.0,303,271
1168,Leigh & Anne,LEIGH + ANNE,37.239802,-121.922615,,False,5,2,123,2,0,18,19,13,32,0.78,5.35,0.5,1.25,0.0,0.5,225,1455
1824,Los Gatos & Bennett,LOS GATOS + BENNETT,37.249677,-121.955327,D6,True,7,3,38,1,2,17,19,13,32,0.74,1.65,0.25,1.75,0.5,0.75,228,551
