stop_id,stop_name,stop_lat,stop_lon,s_coord_ft,s_coord_mi,district_id,zone_type,status,priority,is_existing,is_mandatory,is_school_stop,wheelchair_boarding,walk_buffer_ft,raw_walkshed_pop,marginal_walkshed_pop,equity_walkshed_pop,tdi,equity_priority,est_new_riders_daily,est_annual_boardings,annual_benefit_usd,capital_cost_usd,pv_benefits_usd,pv_total_costs_usd,net_pv_usd,bcr_20yr,fta_cei_per_user_hr,gap_before_ft,gap_after_ft,justification,data_sources
R27_FORCE_006,Los Gatos Towne Center (LG Blvd & Lark),37.2524,-121.9572,42268.0,8.005,,suburban,NEW_IN_SELECTION,—,False,False,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,Los Gatos Municipal Code commercial zone boundary; high pedestrian activity
R27_OSM_65468410,Burton Road; Los Gatos Boulevard; Samaritan Drive,37.25316556385236,-121.95242097667487,43229.0,8.187,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,3248,3248,1820.32,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65468410 (degree=8)
R27_FORCE_001,Winchester Transit Center,37.2581,-121.9498,43680.0,8.273,,suburban,NEW_IN_SELECTION,—,False,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt (parent station PS_WINC area)
1822,Samaritan & Medical Center,37.252288,-121.950083,44074.0,8.347,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
1821,Good Samaritan Hospital,37.25123,-121.947782,45069.0,8.536,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
1745,Good Samaritan Hospital,37.251009,-121.947555,45134.0,8.548,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
R27_OSM_8367846709,Samaritan Drive,37.251075687902656,-121.9449449338283,45892.0,8.692,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,3058,3058,1713.56,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 8367846709 (degree=5)
1820,Samaritan & Saidel,37.250653,-121.942971,46508.0,8.808,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
R27_OSM_65468462,Samaritan Drive; Winton Way,37.25057983,-121.9416424,46895.0,8.882,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,6617,6617,3625.61,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65468462 (degree=6)
R27_OSM_65468455,Charlotte Avenue; Samaritan Drive,37.25058746,-121.9395119,47513.0,8.999,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,7069,7069,3868.46,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65468455 (degree=6)
R27_OSM_65436205,Cooper Avenue; Samaritan Drive,37.25059853865236,-121.93844992360211,47822.0,9.057,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,7265,7265,3973.44,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65436205 (degree=6)
1817,Samaritan & Esther,37.250707,-121.935647,48636.0,9.211,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
1749,Samaritan & Esther,37.25059,-121.935196,48767.0,9.236,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
1816,Samaritan & Union,37.25073,-121.932244,49624.0,9.398,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
R27_FORCE_003,Union Middle School (Dartmouth/Union Ave area),37.2517,-121.9319,49678.0,9.409,,suburban,NEW_IN_SELECTION,—,False,True,True,1,2640.0,4320,4320,2320.65,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,Union School District facility map; FTA Title VI §7 school access
R27_OSM_65500263,Ronda Drive; Union Avenue,37.2496723,-121.93131256,50200.0,9.507,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,4337,4337,2329.58,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65500263 (degree=6)
R27_OSM_65445041,Carlton Avenue; Union Avenue,37.248291454014314,-121.93131185227519,50703.0,9.603,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,4095,4095,2199.6,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65445041 (degree=6)
R27_OSM_65451613,Heather Drive; Union Avenue,37.244677,-121.93127441,52022.0,9.853,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65451613 (degree=6)
R27_OSM_65500241,Los Gatos Almaden Road; Union Avenue,37.243418237195066,-121.93125927289923,52481.0,9.94,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65500241 (degree=8)
R27_OSM_65585834,Ishimatsu Place; Los Gatos Almaden Road,37.2434272899856,-121.92740724979964,53605.0,10.152,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65585834 (degree=6)
R27_OSM_65585828,Los Gatos Almaden Road; Sandy Lane,37.243419814617766,-121.92626302813756,53937.0,10.215,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65585828 (degree=6)
