route_id,source_route_id,seq,lat,lon
OPT_01,,355,37.250193,-121.854976
OPT_01,,356,37.250191,-121.85436
OPT_01,,357,37.25019,-121.853744
OPT_01,,358,37.250188,-121.853128
OPT_01,,359,37.250186,-121.852512
OPT_01,,360,37.250214,-121.851811
OPT_01,,361,37.250241,-121.851111
OPT_01,,362,37.250269,-121.85041
OPT_01,,363,37.250296,-121.849709
OPT_01,,364,37.250324,-121.849009
OPT_01,,365,37.250351,-121.848308
OPT_01,,366,37.250379,-121.847607
OPT_01,,367,37.250406,-121.846907
OPT_01,,368,37.250434,-121.846206
OPT_01,,369,37.250652,-121.845677
OPT_01,,370,37.250869,-121.845147
OPT_01,,371,37.251087,-121.844618
OPT_01,,372,37.251305,-121.844089
OPT_01,,373,37.251522,-121.843559
OPT_01,,374,37.25174,-121.84303
OPT_01,,375,37.251958,-121.842501
OPT_01,,376,37.252175,-121.841971
OPT_01,,377,37.252393,-121.841442
OPT_01,,378,37.252252,-121.840461
OPT_01,,379,37.252111,-121.839479
OPT_01,,380,37.251969,-121.838498
OPT_01,,381,37.251828,-121.837517
OPT_01,,382,37.251687,-121.836535
OPT_01,,383,37.251546,-121.835554
OPT_01,,384,37.251404,-121.834573
OPT_01,,385,37.251263,-121.833591
OPT_01,,386,37.251122,-121.83261
OPT_01,,387,37.251125,-121.832294
OPT_01,,388,37.251128,-121.831978
OPT_01,,389,37.25113,-121.831663
OPT_01,,390,37.251133,-121.831347
OPT_01,,391,37.251136,-121.831031
OPT_01,,392,37.251139,-121.830715
OPT_01,,393,37.251141,-121.8304
OPT_01,,394,37.251144,-121.830084
OPT_01,,395,37.251147,-121.829768
OPT_01,,396,37.25116,-121.829221
OPT_01,,397,37.251173,-121.828674
OPT_01,,398,37.251186,-121.828127
OPT_01,,399,37.251199,-121.82758
OPT_01,,400,37.251211,-121.827034
OPT_01,,401,37.251224,-121.826487
OPT_01,,402,37.251237,-121.82594
OPT_01,,403,37.25125,-121.825393
OPT_01,,404,37.251263,-121.824846
OPT_01,,405,37.251266,-121.824535
OPT_01,,406,37.251268,-121.824225
OPT_01,,407,37.251271,-121.823914
OPT_01,,408,37.251273,-121.823604
OPT_01,,409,37.251276,-121.823293
OPT_01,,410,37.251278,-121.822983
OPT_01,,411,37.251281,-121.822672
OPT_01,,412,37.251283,-121.822362
OPT_01,,413,37.251286,-121.822051
OPT_01,,414,37.25129,-121.821498
OPT_01,,415,37.251294,-121.820944
OPT_01,,416,37.251298,-121.820391
OPT_01,,417,37.251302,-121.819838
OPT_01,,418,37.251305,-121.819284
OPT_01,,419,37.251309,-121.818731
OPT_01,,420,37.251313,-121.818178
OPT_01,,421,37.251317,-121.817624
OPT_01,,422,37.251321,-121.817071
OPT_01,,423,37.251324,-121.816539
OPT_01,,424,37.251328,-121.816008
OPT_01,,425,37.251331,-121.815476
OPT_01,,426,37.251334,-121.814944
OPT_01,,427,37.251338,-121.814413
OPT_01,,428,37.251341,-121.813881
OPT_01,,429,37.251344,-121.813349
OPT_01,,430,37.251348,-121.812818
OPT_01,,431,37.251351,-121.812286
OPT_01,,432,37.251352,-121.811851
OPT_01,,433,37.251353,-121.811416
OPT_01,,434,37.251354,-121.810981
OPT_01,,435,37.251355,-121.810546
OPT_01,,436,37.251356,-121.810112
OPT_01,,437,37.251357,-121.809677
OPT_01,,438,37.251358,-121.809242
OPT_01,,439,37.251359,-121.808807
OPT_01,,440,37.25136,-121.808372
OPT_01,,441,37.25131,-121.807908
OPT_01,,442,37.25126,-121.807443
OPT_01,,443,37.251211,-121.806979
OPT_01,,444,37.251161,-121.806515
OPT_01,,445,37.251111,-121.80605
OPT_01,,446,37.251061,-121.805586
OPT_01,,447,37.251012,-121.805122
OPT_01,,448,37.250962,-121.804657
OPT_01,,449,37.250912,-121.804193
OPT_01,,450,37.250512,-121.804186
