timestamp,school,grade,current_mode,currently_rides_bus,would_ride_bus,n_total_columns
2026-01-13 11:46:42.782,,6th,I bike/skate/scooter,,,18
2026-01-13 11:46:59.032,,6th,I walk,,,18
2026-01-13 11:47:00.050,,6th,I walk,,,18
2026-01-13 11:47:13.616,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:47:18.334,,6th,I bike/skate/scooter,,,18
2026-01-13 11:47:21.070,,6th,A parent/guardian drives me,No,,18
2026-01-13 11:47:54.360,?,6th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:48:05.603,,6th,I carpool with another family,Yes,I have no interest in taking the bus,18
2026-01-13 11:48:08.277,,6th,I walk,,,18
2026-01-13 11:48:15.997,,6th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:48:26.471,,6th,A parent/guardian drives me,No,,18
2026-01-13 11:48:32.082,,6th,A parent/guardian drives me,No,,18
2026-01-13 11:49:16.225,My house,6th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:49:49.917,"The front, at the office.",6th,A parent/guardian drives me,Yes,"I don't like taking the bus, I like going in the car with my parent, it is more desireable and it is more fun because i get to talk to them, and I have a trombone i have to take to school and back to home, and I dont think it could go in the bus.",18
2026-01-13 11:54:15.049,,7th,I bike/skate/scooter,,,18
2026-01-13 11:54:42.060,,7th,I bike/skate/scooter,,,18
2026-01-13 11:54:42.552,,7th,I walk,,,18
2026-01-13 11:54:48.517,,7th,I walk,,,18
2026-01-13 11:54:51.686,,7th,I bike/skate/scooter,,,18
2026-01-13 11:55:00.038,,7th,I bike/skate/scooter,,,18
2026-01-13 11:55:07.187,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:55:11.900,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:55:16.371,,7th,I bike/skate/scooter,,,18
2026-01-13 11:55:18.326,,7th,I walk,,,18
2026-01-13 11:55:20.836,,7th,I walk,,,18
2026-01-13 11:55:22.330,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:55:31.079,,7th,I walk,,,18
2026-01-13 11:55:31.316,,7th,I walk,,,18
2026-01-13 11:55:33.307,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:55:41.266,,7th,I walk,,,18
2026-01-13 11:55:42.396,,7th,I walk,,,18
2026-01-13 11:55:44.396,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:55:45.839,,7th,I bike/skate/scooter,,,18
2026-01-13 11:55:46.973,,7th,I walk,,,18
2026-01-13 11:55:51.187,,7th,I bike/skate/scooter,,,18
